gene,yuan_class,cage_kinetics,balf2_ratio,bdlf4_ratio,wt_tpm,array_vs_cage_mismatch,rna_fold_48h,akata_protein_fold_48h,p3hr1_0,p3hr1_24,p3hr1_48,p3hr1_72
BZLF1,IE,,,,,False,2.9,53.77618335003269,1721.4980103744163,8614.317606351688,7959.466777134119,7253.485789061975
BRLF1,IE,early,1.07,1.96,5,False,2.7,6.313177953708339,3892.9515323079204,18710.429463627093,19458.343778807168,13275.583522788613
BMLF1,IE/E,early,1.05,1.08,969,False,3.9,39.98047752498598,1118.043411533191,20711.139079680386,18466.417979360485,17548.891729126233
BCRF2,U,,,,,False,4.0,,,,,
EBNALP,LT,,,,,False,6.1,,197.39527534434723,125.1459175048711,128.26840782962338,131.4748143896989
EBNA2,LT,,,,,False,5.4,,,,,
BHLF1,E,early,0.51,1.8,65,False,8.4,,,,,
BHRF1,E,early,0.81,1.25,758,False,5.2,17.421076581690865,187.40820431979338,971.9500718486142,1122.673898869493,880.8664880031293
BFLF2,E,early,0.79,0.41,187,False,7.1,223.5330181289925,582.6229785251097,13068.728066602474,15110.961140950376,8238.065800037342
BFLF1,E,leaky,0.19,0.14,6,False,2.9,25.277323947486487,682.9660528514127,16219.48509345272,13458.210173855177,10784.936179236305
BFRF1,E,late,0.01,0.0,104,True,6.9,70.11586263717221,944.6491404856235,27821.2763042337,37656.18890638144,27294.063061921497
BFRF2,E,,,,,False,5.5,19.295897604986095,89.74464346378407,1216.4376272078232,943.0104247847609,746.0802965438169
BFRF3,L,late,0.02,0.0,346,False,5.1,33.79041765729878,267.0362089470794,6528.142529109496,7524.251546413748,3837.6467332476586
BPLF1,L,late,0.0,0.01,5,False,5.0,29.474299188945345,900.2261601671016,26767.601751902752,25298.120278528804,14904.448466266074
BNRF1,L,late,0.0,0.01,25,False,5.8,21.78896761610392,2118.173945119397,50543.07710223947,55012.832782847494,38059.186334098
BOLF1,L,late,0.01,0.01,6,False,2.3,73.38444605896731,653.6831261468536,8771.241532542383,9193.860201766931,5755.137625336311
BORF1,L,leaky,0.19,0.05,72,False,5.7,23.2184642750116,196.7258753186157,9137.580973773622,9055.619594918187,6090.562625906503
BORF2,E,early,1.05,1.3,161,False,6.6,36.57366020103709,3409.086866823235,64706.79887901229,80510.51578554424,55444.094771368305
BaRF1,E,early,0.93,1.26,279,False,5.5,37.61304557069818,1182.0168176776606,25905.108551986123,28473.996988222698,18598.288950549937
BMRF1,E,early,1.29,1.31,171,False,6.3,39.243359262293744,3351.8745954638543,93934.42023041705,101166.29829710566,70999.77291070136
BMRF2,L,early,0.64,0.84,158,True,5.2,17.60140757161568,60.80424435979389,3332.2007575659827,3135.385774862305,2096.290061564052
BLLF3,E,early,1.07,1.16,229,False,6.8,29.4420983618548,1507.2840354413597,23611.975257225957,20415.51876290559,16366.506525300196
BLRF1,L,leaky,0.36,0.27,66,False,5.0,,,,,
BLRF2,L,leaky,0.1,0.04,366,False,4.0,53.27852826661343,823.4833849567792,21327.15585027052,25040.793807449372,13787.665191577524
BLLF1,L,late,0.0,0.01,171,False,5.0,131.84156292405692,117.98232893787674,4655.958111286784,3517.2959713633086,1461.0196518834755
BZLF2,L,late,0.02,0.0,210,False,4.1,123.99956356624558,125.88176642044414,8311.340377783066,6542.447313393052,4399.4503775069925
BRRF1,E,early,0.98,1.07,200,False,4.2,47.61118259157017,454.05242734650886,10925.946459097082,10864.07478260522,8898.74689775177
BRRF2,L,leaky,0.28,0.34,42,False,4.7,27.54467362297796,524.5180602266361,6970.15542282054,5975.352597770237,3249.1383536006288
BKRF2,L,leaky,0.35,0.57,22,False,6.4,,,,,
BKRF3,E,early,1.24,1.04,300,False,7.0,73.4986740682135,667.7150036591482,13987.342736216577,12275.623414045096,10838.878578501366
BKRF4,L,early,0.95,1.18,167,True,4.5,85.22577243611214,595.3532192635923,10072.547800361312,4938.332966473789,3030.6506740081063
BBLF4,E,early,1.05,1.15,74,False,3.8,13.639873905670125,469.5038404531729,9058.059942703729,7520.561492362565,5015.868806643393
BBRF1,L,leaky,0.24,0.14,11,False,5.8,76.90521843830444,429.13448978495325,15970.267575423997,11325.524454051354,6882.567562874928
BBRF2,L,leaky,0.47,0.4,6,False,4.4,57.98549093620431,399.03284191895983,13612.302464607079,11687.85652517985,8199.791607044548
BBLF2,E,early,1.25,1.08,203,False,5.0,15.142177360430995,800.7080075823174,12442.079456506193,8373.948939705808,6821.052847250008
BBRF3,L,leaky,0.23,0.29,93,False,6.0,,47.85762720099955,517.4173297939403,824.068376627544,437.1601982593972
BGLF5,E,early,1.34,1.1,95,False,6.0,36.97235997274975,759.2330745268569,14638.814278089556,15108.998829302318,12835.925869413235
BGLF3,U,early,0.72,1.0,19,False,4.7,,49.70861582999995,1626.1255743990907,628.5205345423451,636.1578077480598
BGRF1,L,,,,,False,4.2,17.024583825765674,207.71137786029803,3159.3389411952194,2162.7374530031793,1630.5414112201327
BGLF2,L,late,0.03,0.01,59,False,4.2,47.67006131766582,238.1181253213751,10801.134285954902,11074.278100373906,7080.017671715101
BGLF1,L,late,0.04,0.05,3,False,3.8,24.17698666294981,52.84229557095584,4301.473548925015,2022.1355356983238,1939.5291788515572
BDLF4,E,,,,,False,5.5,,16.321331943115784,715.338398389017,226.78510110250681,260.9470724115835
BDLF3,L,leaky,0.15,0.27,89,False,5.8,89.89566317683527,47.719333969964595,1966.7808846964817,1818.7422386735027,1757.461136676734
BDLF1,L,late,0.0,0.0,55,False,7.5,171.0000506817526,87.78379978662831,4334.384274453511,3676.6681177737814,3105.5652217825386
BcLF1,L,late,0.0,0.02,70,False,4.0,29.081390755268142,2026.7260124753097,80634.9995375006,82155.32866078157,41668.28890225705
BXLF2,L,leaky,0.13,0.11,20,False,5.3,83.9188341266691,358.53842306985894,14721.86001175418,10788.018601726244,7692.606578019396
BXLF1,E,early,0.9,1.36,196,False,5.1,34.967660053732864,1807.9242369301737,40094.90695766085,44120.549777003886,32365.356543791717
BVRF1,L,early,0.98,0.63,9,True,3.9,10.276919376629838,127.3291265241181,3796.1434433722693,3033.5885381830144,2289.696605503456
BdRF1,L,leaky,0.27,0.26,52,False,5.8,17.024583825765674,207.71137786029803,3159.3389411952194,2162.7374530031793,1630.5414112201327
BILF2,L,late,0.0,0.0,197,False,6.4,,,,,
LF3,E,,,,,False,7.6,48.67936146090523,87.09784370343142,3759.093805409188,5685.734563638027,3236.9842632309033
LF2,U,,,,,False,5.0,14.479787297055198,548.5048503096889,8218.232396820327,8850.700936072275,6644.194330454132
BALF5,E,,,,,False,4.3,58.63121288045128,1900.630432058125,53786.612955552504,47468.7565461183,39820.1948397717
BALF4,L,leaky,0.34,0.14,50,False,6.8,60.95159207763085,1206.6516800565844,31953.16326047129,33829.62016869923,19939.59503355081
BALF2,E,early,1.61,0.86,44,False,4.9,38.85602351263216,5002.303911305815,133262.63508577223,141567.88820678883,84569.68154389622
BALF1,E,early,1.94,0.87,127,False,4.4,7.721101812694095,51.39207835234844,717.7399015555088,372.79196640977,260.130519518773
BARF1,E,early,1.29,1.06,186,False,3.8,,15.155135472177104,900.4465132908363,957.0717603505724,647.0451533741186
BNLF2b,E,early,0.66,0.21,198,False,6.1,23.73116531699743,101.06518159887612,3926.070351062606,2030.1855468233043,1905.1361720609193
BNLF2a,E,early,0.64,2.41,6,False,4.9,,,,,
