gene,class,probe_nt,hours,signed_fold,source_note
BZLF1,IE,90625,0,1.0,Yuan 2006 Table 1 oligo 90625; paper states peak at 4 h
BZLF1,IE,90625,4,5.3,Yuan 2006 Table 1 oligo 90625
BZLF1,IE,90625,8,4.6,Yuan 2006 Table 1 oligo 90625
BZLF1,IE,90625,12,2.1,Yuan 2006 Table 1 oligo 90625
BZLF1,IE,90625,24,2.5,Yuan 2006 Table 1 oligo 90625
BZLF1,IE,90625,48,2.9,Yuan 2006 Table 1 oligo 90625
BZLF1,IE,90625,72,3.2,Yuan 2006 Table 1 oligo 90625
BRLF1,IE,91369,0,1.0,Yuan 2006 Table 1; paper: twofold only at 8 h; peak 12 h
BRLF1,IE,91369,4,1.5,Yuan 2006 Table 1 oligo 91369
BRLF1,IE,91369,8,3.6,Yuan 2006 Table 1 oligo 91369
BRLF1,IE,91369,12,5.7,Yuan 2006 Table 1 oligo 91369
BRLF1,IE,91369,24,3.3,Yuan 2006 Table 1 oligo 91369
BRLF1,IE,91369,48,2.7,Yuan 2006 Table 1 oligo 91369
BRLF1,IE,91369,72,2.0,Yuan 2006 Table 1 oligo 91369
BMLF1,IE/E,70461,0,1.0,Yuan 2006 Table 1; paper: ~3-fold at 4 h; peak 8 h
BMLF1,IE/E,70461,4,2.3,Yuan 2006 Table 1 oligo 70461
BMLF1,IE/E,70461,8,9.5,Yuan 2006 Table 1 oligo 70461
BMLF1,IE/E,70461,12,7.6,Yuan 2006 Table 1 oligo 70461
BMLF1,IE/E,70461,24,5.4,Yuan 2006 Table 1 oligo 70461
BMLF1,IE/E,70461,48,3.9,Yuan 2006 Table 1 oligo 70461
BMLF1,IE/E,70461,72,3.8,Yuan 2006 Table 1 oligo 70461
BHLF1,E,40040,0,1.0,Yuan 2006 Table 1 oligo 40040; PT 36 h
BHLF1,E,40040,4,1.0,Yuan 2006 Table 1 oligo 40040
BHLF1,E,40040,8,2.1,Yuan 2006 Table 1 oligo 40040
BHLF1,E,40040,12,5.1,Yuan 2006 Table 1 oligo 40040
BHLF1,E,40040,24,8.8,Yuan 2006 Table 1 oligo 40040
BHLF1,E,40040,48,8.4,Yuan 2006 Table 1 oligo 40040
BHLF1,E,40040,72,4.5,Yuan 2006 Table 1 oligo 40040
BHRF1,E,42109,0,1.0,Yuan 2006 Table 1 oligo 42109
BHRF1,E,42109,4,-1.1,Yuan 2006 Table 1 oligo 42109
BHRF1,E,42109,8,4.9,Yuan 2006 Table 1 oligo 42109
BHRF1,E,42109,12,8.7,Yuan 2006 Table 1 oligo 42109
BHRF1,E,42109,24,8.0,Yuan 2006 Table 1 oligo 42109
BHRF1,E,42109,48,5.2,Yuan 2006 Table 1 oligo 42109
BHRF1,E,42109,72,3.5,Yuan 2006 Table 1 oligo 42109
BFLF2,E,44140,0,1.0,Yuan 2006 Table 1 oligo 44140
BFLF2,E,44140,4,1.8,Yuan 2006 Table 1 oligo 44140
BFLF2,E,44140,8,22.3,Yuan 2006 Table 1 oligo 44140
BFLF2,E,44140,12,20.6,Yuan 2006 Table 1 oligo 44140
BFLF2,E,44140,24,15.8,Yuan 2006 Table 1 oligo 44140
BFLF2,E,44140,48,7.1,Yuan 2006 Table 1 oligo 44140
BFLF2,E,44140,72,5.3,Yuan 2006 Table 1 oligo 44140
BFRF1,E,47325,0,1.0,Yuan 2006 Table 1 oligo 47325
BFRF1,E,47325,4,1.2,Yuan 2006 Table 1 oligo 47325
BFRF1,E,47325,8,16.3,Yuan 2006 Table 1 oligo 47325
BFRF1,E,47325,12,22.7,Yuan 2006 Table 1 oligo 47325
BFRF1,E,47325,24,15.0,Yuan 2006 Table 1 oligo 47325
BFRF1,E,47325,48,6.9,Yuan 2006 Table 1 oligo 47325
BFRF1,E,47325,72,4.9,Yuan 2006 Table 1 oligo 47325
BaRF1,E,66614,0,1.0,Yuan 2006 Table 1 oligo 66614; RNR small subunit
BaRF1,E,66614,4,4.0,Yuan 2006 Table 1 oligo 66614
BaRF1,E,66614,8,16.3,Yuan 2006 Table 1 oligo 66614
BaRF1,E,66614,12,22.7,Yuan 2006 Table 1 oligo 66614
BaRF1,E,66614,24,7.3,Yuan 2006 Table 1 oligo 66614
BaRF1,E,66614,48,5.5,Yuan 2006 Table 1 oligo 66614
BaRF1,E,66614,72,4.3,Yuan 2006 Table 1 oligo 66614
BMRF1,E,68549,0,1.0,Yuan 2006 Table 1 oligo 68549; EA-D / polymerase processivity
BMRF1,E,68549,4,1.7,Yuan 2006 Table 1 oligo 68549
BMRF1,E,68549,8,23.8,Yuan 2006 Table 1 oligo 68549
BMRF1,E,68549,12,42.2,Yuan 2006 Table 1 oligo 68549
BMRF1,E,68549,24,12.4,Yuan 2006 Table 1 oligo 68549
BMRF1,E,68549,48,6.3,Yuan 2006 Table 1 oligo 68549
BMRF1,E,68549,72,4.8,Yuan 2006 Table 1 oligo 68549
BDLF4,E,116589,0,1.0,Yuan 2006 Table 1 oligo 116589
BDLF4,E,116589,4,1.7,Yuan 2006 Table 1 oligo 116589
BDLF4,E,116589,8,17.6,Yuan 2006 Table 1 oligo 116589
BDLF4,E,116589,12,13.6,Yuan 2006 Table 1 oligo 116589
BDLF4,E,116589,24,8.7,Yuan 2006 Table 1 oligo 116589
BDLF4,E,116589,48,5.5,Yuan 2006 Table 1 oligo 116589
BDLF4,E,116589,72,3.1,Yuan 2006 Table 1 oligo 116589
BXLF1,E,130906,0,1.0,Yuan 2006 Table 1 oligo 130906; thymidine kinase
BXLF1,E,130906,4,1.0,Yuan 2006 Table 1 oligo 130906
BXLF1,E,130906,8,4.4,Yuan 2006 Table 1 oligo 130906
BXLF1,E,130906,12,9.3,Yuan 2006 Table 1 oligo 130906
BXLF1,E,130906,24,7.9,Yuan 2006 Table 1 oligo 130906
BXLF1,E,130906,48,5.1,Yuan 2006 Table 1 oligo 130906
